company_size,product_category,product_subcategory,NAICS,NAICS_description,brand_type,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile
Total,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,Private,307,245,24763469,28158095,61190146.5,112315227.5
Small Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Branded,97,88,2077785,1211284.7999999998,2475633.6,4438900.399999999
Medium Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Branded,286,234,68299089,26893854,58442833.8,107272503.00000001
Large Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Branded,76,60,21969110,16505358,35511432,64291833
Total,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Branded,459,382,92345984,44610496.8,96429899.4,176003236.39999998
Small Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Private,0,0,0,0,0,0
Medium Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Private,326,271,68423148,31146301,67683794.7,124234394.49999999
Large Companies,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Private,0,0,0,0,0,0
Total,Meat & poultry,Poultry - frozen,311615,Poultry Processing,Private,326,271,68423148,31146301,67683794.7,124234394.49999999
Small Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Branded,658,575,5483310,7914645,16176015,29004178.75
Medium Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Branded,1008,807,62696599,92749317.00000001,201552849.9,369952606.50000006
Large Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Branded,1,1,20460,275089.3,591857.2,1071530.55
Total,Seafood,Seafood - refrigerated,311711,Seafood Canning,Branded,1667,1383,68200369,100939051.3,218320722.1,400028315.8
Small Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Private,0,0,0,0,0,0
Medium Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Private,187,155,15910941,17814305,38712133.5,71056572.5
Large Companies,Seafood,Seafood - refrigerated,311711,Seafood Canning,Private,0,0,0,0,0,0
Total,Seafood,Seafood - refrigerated,311711,Seafood Canning,Private,187,155,15910941,17814305,38712133.5,71056572.5
Small Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Branded,339.69,300.83000000000004,2046665.08,4140804.6180000002,8463009.726000002,15174481.901500002
Medium Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Branded,1207.3400000000001,875.69,114247772.88000001,100643927.39,218708568.933,401442128.855
Large Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Branded,54.27,47.57,29895929.970000003,13085998.000999998,28154647.004000004,50972708.2635
Total,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Branded,1601.3000000000002,1224.09,146190367.93,117870730.009,255326225.663,467589319.02
Small Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Medium Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Private,1638.8200000000002,1252.9,124808056.94000001,143997049.9,312918916.53000003,574366320.55
Large Companies,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Private,0,0,0,0,0,0
Total,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,Private,1638.8200000000002,1252.9,124808056.94000001,143997049.9,312918916.53000003,574366320.55
