company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Total Costs,0,0,0
Small Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Total Costs,1497193.7585,1896706.35,2343486.068
Medium Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Per Formula Costs,4724.3499999999985,5985,7394.799999999999
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Total Costs,153162.268,232719.67599999998,294668.94800000003
Large Companies,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Per Formula Costs,16328.6,24810.199999999997,31414.600000000002
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Total Costs,1650356.0265,2129426.026,2638155.0160000003
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,Consumer tests,Per Formula Costs,3760.638091603053,4852.286717557252,6011.518778625955
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Total Costs,13147.41,19517.100000000002,28740.990000000005
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Per Formula Costs,1308.1999999999998,1942,2859.8
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Total Costs,369216.9,902004.25,1753622.4900000002
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Total Costs,613753.5,1431723,2708676
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Total Costs,996117.81,2353244.35,4491039.48
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,1. Determine response to regulation,Per Formula Costs,4617.214285714285,10907.77950310559,20816.906832298137
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Total Costs,17878.95,44833.05,88721.40000000001
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Per Formula Costs,1779,4461,8828
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Total Costs,1553235.54,3743922.4800000004,7220872.740000001
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Per Formula Costs,14766,35592,68646
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Total Costs,3114193.5,7151077.5,13422679.5
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Per Formula Costs,30987,71155,133559
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Total Costs,4685307.99,10939833.030000001,20732273.64
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,2. Project management,Per Formula Costs,21717.38198757764,50708.413043478264,96098.42236024844
