sector_desc_drc,category,impact
115000/agriculture and forestry support/us,economic & social/jobs/jobs,6.464365199172717e-6
115000/agriculture and forestry support/us,resource use/land/m2*yr,2.1847887072324164
115000/agriculture and forestry support/us,chemical releases/metl/kg,4.749382333767835e-7
115000/agriculture and forestry support/us,resource use/mine/kg,0.11486780349572145
115000/agriculture and forestry support/us,resource use/nren/mj,3.6830325801854387
115000/agriculture and forestry support/us,impact potential/ozon/kg cfc11 eq,6.803940018153049e-7
115000/agriculture and forestry support/us,chemical releases/pest/kg,4.160605318064037e-5
115000/agriculture and forestry support/us,resource use/ren/mj,0.24493889020134926
115000/agriculture and forestry support/us,impact potential/smog/kg o3 eq,0.023098391281628022
115000/agriculture and forestry support/us,economic & social/vadd/$,1.0723753175389854
115000/agriculture and forestry support/us,resource use/watr/m3,0.07944417941273273
211000/unrefined oil and gas/us,impact potential/acid/kg so2 eq,0.0031611705612030316
211000/unrefined oil and gas/us,resource use/enrg/mj,133.02823773609546
211000/unrefined oil and gas/us,impact potential/etox/ctue,0.02585662387811663
211000/unrefined oil and gas/us,impact potential/eutr/kg n eq,9.47340910164703e-4
211000/unrefined oil and gas/us,impact potential/gcc/kg co2 eq,0.7345243132551484
211000/unrefined oil and gas/us,chemical releases/haps/kg,4.063546267175811e-4
211000/unrefined oil and gas/us,impact potential/hc/ctuh,7.363509669697465e-10
211000/unrefined oil and gas/us,impact potential/hnc/ctuh,4.6024962072875115e-9
211000/unrefined oil and gas/us,impact potential/hrsp/kg pm2.5 eq,2.1677306226934492e-4
211000/unrefined oil and gas/us,impact potential/htox/ctuh,5.340385342817614e-9
211000/unrefined oil and gas/us,economic & social/jobs/jobs,2.6376814840252445e-6
211000/unrefined oil and gas/us,resource use/land/m2*yr,0.7468569973709319
211000/unrefined oil and gas/us,chemical releases/metl/kg,3.383147430163139e-7
211000/unrefined oil and gas/us,resource use/mine/kg,0.22605609204233268
211000/unrefined oil and gas/us,resource use/nren/mj,132.68923221851435
211000/unrefined oil and gas/us,impact potential/ozon/kg cfc11 eq,9.638428912376783e-8
211000/unrefined oil and gas/us,chemical releases/pest/kg,8.92529262456507e-7
211000/unrefined oil and gas/us,resource use/ren/mj,0.33900551758111475
211000/unrefined oil and gas/us,impact potential/smog/kg o3 eq,0.12263208896119394
211000/unrefined oil and gas/us,economic & social/vadd/$,1.2268083002540346
211000/unrefined oil and gas/us,resource use/watr/m3,0.013633783510384034
212100/coal/us,impact potential/acid/kg so2 eq,0.0017085053537323016
212100/coal/us,resource use/enrg/mj,408.5558120288435
212100/coal/us,impact potential/etox/ctue,0.03335170234634711
212100/coal/us,impact potential/eutr/kg n eq,3.6777560562079194e-4
212100/coal/us,impact potential/gcc/kg co2 eq,1.9193641286400103
212100/coal/us,chemical releases/haps/kg,6.160184142609847e-5
212100/coal/us,impact potential/hc/ctuh,8.576200613193287e-11
